I2C_SCL,I2C_SDA
1,1
1,0
0,0
0,1
1,1
0,1
1,1
0,1
1,1
0,1
1,1
0,1
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
0,1
1,1
0,1
1,1
0,1
1,1
0,1
0,0
1,0
0,0
1,0
0,0
0,1
1,1
0,1
0,0
1,0
0,0
0,0
1,0
0,0
0,1
1,1
0,1
1,1
0,1
0,0
1,0
0,0
0,1
1,1
0,1
0,0
1,0
0,0
1,0
0,0
1,0
0,0
0,1
1,1
0,1
0,0
1,0
0,0
0,0
1,0
1,1
1,0
0,0
0,1
1,1
0,1
1,1
0,1
1,1
0,1
1,1
0,1
0,0
1,0
0,0
1,0
0,0
1,0
0,0
0,1
1,1
0,1
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
0,1
1,1
0,1
0,0
1,0
1,1
